category;neighborhood;borough
Metro Station;Carnota;ALENQUER
Gas Station;Carnota;ALENQUER
Building;Carnota;ALENQUER
Business Center;Carnota;ALENQUER
Office;Carnota;ALENQUER
ATM;Carnota;ALENQUER
Metro Station;Meca;ALENQUER
Building;Meca;ALENQUER
Business Center;Meca;ALENQUER
Office;Meca;ALENQUER
ATM;Meca;ALENQUER
Metro Station;Olhalvo;ALENQUER
Gas Station;Olhalvo;ALENQUER
Building;Olhalvo;ALENQUER
Business Center;Olhalvo;ALENQUER
Office;Olhalvo;ALENQUER
ATM;Olhalvo;ALENQUER
Metro Station;Ota;ALENQUER
Metro Station;Ota;ALENQUER
Building;Ota;ALENQUER
Business Center;Ota;ALENQUER
Office;Ota;ALENQUER
ATM;Ota;ALENQUER
Metro Station;Ventosa;ALENQUER
Gas Station;Ventosa;ALENQUER
Building;Ventosa;ALENQUER
Business Center;Ventosa;ALENQUER
Office;Ventosa;ALENQUER
ATM;Ventosa;ALENQUER
Metro Station;Vila Verde dos Francos;ALENQUER
Metro Station;Vila Verde dos Francos;ALENQUER
Building;Vila Verde dos Francos;ALENQUER
Business Center;Vila Verde dos Francos;ALENQUER
Office;Vila Verde dos Francos;ALENQUER
ATM;Vila Verde dos Francos;ALENQUER
Food;Abrigada;ALENQUER
Food;Cabanas de Torres;ALENQUER
Metro Station;Abrigada;ALENQUER
Metro Station;Cabanas de Torres;ALENQUER
Gas Station;Abrigada;ALENQUER
Gas Station;Cabanas de Torres;ALENQUER
Building;Abrigada;ALENQUER
Building;Cabanas de Torres;ALENQUER
Business Center;Abrigada;ALENQUER
Business Center;Cabanas de Torres;ALENQUER
Office;Abrigada;ALENQUER
Office;Cabanas de Torres;ALENQUER
ATM;Abrigada;ALENQUER
ATM;Cabanas de Torres;ALENQUER
Food;Aldeia Galega da Merceana;ALENQUER
Food;Aldeia Gavinha;ALENQUER
Metro Station;Aldeia Galega da Merceana;ALENQUER
Metro Station;Aldeia Gavinha;ALENQUER
Gas Station;Aldeia Galega da Merceana;ALENQUER
Gas Station;Aldeia Gavinha;ALENQUER
Building;Aldeia Galega da Merceana;ALENQUER
Building;Aldeia Gavinha;ALENQUER
Business Center;Aldeia Galega da Merceana;ALENQUER
Business Center;Aldeia Gavinha;ALENQUER
Office;Aldeia Galega da Merceana;ALENQUER
Office;Aldeia Gavinha;ALENQUER
ATM;Aldeia Galega da Merceana;ALENQUER
ATM;Aldeia Gavinha;ALENQUER
Food;Alenquer;ALENQUER
Food;Santo Estêvão;ALENQUER
Food;Triana;ALENQUER
Metro Station;Alenquer;ALENQUER
Metro Station;Santo Estêvão;ALENQUER
Metro Station;Triana;ALENQUER
Gas Station;Alenquer;ALENQUER
Gas Station;Santo Estêvão;ALENQUER
Gas Station;Triana;ALENQUER
Building;Alenquer;ALENQUER
Building;Santo Estêvão;ALENQUER
Building;Triana;ALENQUER
